Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ001-K11_DU,Split.D6d0S4-F0d12-Vc15d0-MJ001-K11_DU,Point.45,6.0,4,0.12,15.0,J001,11_DU,44.3580644164742,16.0837305341661,39.0245965248324,4.8850469619662,3.97479448926637
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ002-K11_DU,Split.D6d0S4-F0d12-Vc15d0-MJ002-K11_DU,Point.41,6.0,4,0.12,15.0,J002,11_DU,48.0279012493917,19.7535673670835,75.4276704475687,5.46640294754695,4.05657825855058
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ003-K12_DU,Split.D6d0S4-F0d12-Vc15d0-MJ003-K12_DU,Point.485,6.0,4,0.12,15.0,J003,12_DU,48.3752457666246,20.1009118843164,27.8070454781222,5.41652398418758,4.36799480889034
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ004-K12_DU,Split.D6d0S4-F0d12-Vc15d0-MJ004-K12_DU,Point.38,6.0,4,0.12,15.0,J004,12_DU,49.4813191057372,21.2069852234291,29.4075884473409,5.13772723607821,4.17761760950289
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ005-K13_DU,Split.D6d0S4-F0d12-Vc15d0-MJ005-K13_DU,Point.31,6.0,4,0.12,15.0,J005,13_DU,47.796973712375,19.5226398300669,28.2148219614888,4.79219395226004,4.04263797224771
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ006-K13_DU,Split.D6d0S4-F0d12-Vc15d0-MJ006-K13_DU,Point.32,6.0,4,0.12,15.0,J006,13_DU,47.5894742754756,19.3151403931675,27.7992701207598,4.73954027454013,4.08203533012685
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ007-K14_DU,Split.D6d0S4-F0d12-Vc15d0-MJ007-K14_DU,Point.10,6.0,4,0.12,15.0,J007,14_DU,48.1667257190074,19.8923918366993,30.2586392409291,5.32466505472013,4.22967499504312
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ008-K14_DU,Split.D6d0S4-F0d12-Vc15d0-MJ008-K14_DU,Point.9,6.0,4,0.12,15.0,J008,14_DU,41.8090190742289,13.5346851919207,25.5393358983056,4.66263416174356,3.87561319109759
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ009-K15_DU,Split.D6d0S4-F0d12-Vc15d0-MJ009-K15_DU,Point.6,6.0,4,0.12,15.0,J009,15_DU,48.2126817841196,19.9383479018115,27.7025056239817,4.78961004824929,4.15419483246766
DU-D6d0S4-F0d12-Vc15d0,D6d0S4-F0d12-Vc15d0-MJ010-K15_DU,Split.D6d0S4-F0d12-Vc15d0-MJ010-K15_DU,Point.10,6.0,4,0.12,15.0,J010,15_DU,45.4267679968163,17.1524341145082,27.3114747350666,4.80080986300853,4.02214212977793
