,name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd
0,D6d0S1-F0d03-Vc15d0-MJ001-K01,1,0.03,15.0,J001,01,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395
1,D6d0S1-F0d03-Vc15d0-MJ002-K01,1,0.03,15.0,J002,01,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589
2,D6d0S1-F0d03-Vc15d0-MJ003-K02,1,0.03,15.0,J003,02,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025
3,D6d0S1-F0d03-Vc15d0-MJ004-K02,1,0.03,15.0,J004,02,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452
4,D6d0S1-F0d03-Vc15d0-MJ005-K03,1,0.03,15.0,J005,03,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121269,3.74299560080167
5,D6d0S1-F0d03-Vc15d0-MJ006-K03,1,0.03,15.0,J006,03,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594
6,D6d0S1-F0d03-Vc15d0-MJ007-K04,1,0.03,15.0,J007,04,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171
7,D6d0S1-F0d03-Vc15d0-MJ008-K04,1,0.03,15.0,J008,04,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558
8,D6d0S1-F0d03-Vc15d0-MJ009-K05,1,0.03,15.0,J009,05,44.1888264079685,15.9144925256604,28.260702047102498,4.85054104348816,3.9923769645953704
9,D6d0S1-F0d03-Vc15d0-MJ010-K05,1,0.03,15.0,J010,05,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873
10,D6d0S1-F0d03-Vc30d0-MJ001-K01,1,0.03,30.0,J001,01,42.6726746799839,14.3983407976758,24.5629221868324,4.468104241955629,3.9112406058108102
11,D6d0S1-F0d03-Vc30d0-MJ002-K01,1,0.03,30.0,J002,01,42.6447446135751,14.370410731266901,26.0460457427005,4.8606312566096195,3.8142388553326603
