name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-80,80-110,110-140,140-170,170-200,200-230,230-260,260-290,290-320,320-350,350-380,380-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,16411538.289468128,14933039.550060192,8153277.170565351,14084976.019882215,22581470.343697984,21202503.76937219,15957083.63442289,15065604.177652685,18181614.80960265,23853992.55400029,26980877.68045744,24801829.91034179
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,26291601.69422265,11909665.496764125,15964268.241255533,18248664.980696186,36492031.86052333,33123780.948517106,14090434.50965089,13861222.950176362,14538884.529101765,27062231.80585952,27812884.817542225,24902389.816011216
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,22173810.7427442,18088279.13660762,9597839.39447861,19488225.96616217,32843068.58466509,30685401.66828849,18692226.36902229,13018516.276484055,11707828.71273847,12846513.906466665,18824293.812462,22008510.99096807
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,33334496.60580952,15993204.224979725,16403153.201985333,19471825.526615564,28596623.02236181,36829316.35779099,15066785.385624915,11173415.749440463,12422931.262695493,17637294.098489687,19170987.592294406,15162047.910959803
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,23462642.23684331,12175194.301204093,15260629.211133076,19914562.259680267,31379521.069318824,31659825.73351565,16519211.79947742,15289819.045262264,15443115.979751386,12106411.101074325,23183477.80322894,14428058.247311248
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,16346881.404782513,19780039.0940413,11915296.644853815,16938259.481765836,19787041.28193365,30509822.91431388,24735500.349667616,13162391.054299448,15024196.254008412,13978059.991904715,19705217.170076966,27732246.927272804
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,31953106.02368952,13944252.680481048,12994781.89486136,15624142.431773998,22676931.1157158,31585043.03619345,18039438.164689414,13948899.655624865,18453458.624490146,21186346.9287181,27894896.23719649,40929681.50930084
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,14595077.426014267,8978426.191370612,12232158.401280815,16723920.476677146,25572945.994155034,22615858.91185335,14180487.437468892,10446717.46551456,13578903.307659328,19141997.860396247,20647154.953509007,13721912.674120232
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,19653539.299765967,17242902.96332323,14241562.602741485,15450299.383831656,32002517.59172757,34032210.99970185,15630822.56843786,9399681.572173227,12763209.306933725,18008008.228524238,24453578.51021903,44492961.81621017
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,26823031.56021025,18935081.255073287,12969606.418306084,12139137.18693382,41094083.43596234,38691675.13318138,14318774.688675528,12360102.538832216,14215945.943706818,18163266.8745542,17482529.56267189,23095136.35831269
D6d0S1-F0d03-Vc30-MJ001-K01,1,0.03,30.0,J001,1,42.6726746799839,14.3983407976758,24.5629221868324,4.468104241955629,3.9112406058108102,19361890.98193868,10730226.857831474,13479249.083971675,14217852.93355468,28297181.69833257,16986718.32399075,16686496.03581492,12080430.340753416,24573543.6574274,30322657.04429533,34113582.71334977,24033969.94840073
D6d0S1-F0d03-Vc30-MJ002-K01,1,0.03,30.0,J002,1,42.6447446135751,14.370410731266901,26.0460457427005,4.8606312566096195,3.8142388553326603,21930693.12775582,16048375.403581295,16154975.526748678,18744196.062601566,17026109.591420274,25800015.19401939,14659771.567694476,16594934.399030555,25513304.937561825,31433150.62221911,75618514.25697358,34549732.40055012
D6d0S1-F0d03-Vc30-MJ003-K02,1,0.03,30.0,J003,2,42.5188666578585,14.2445327755503,25.1635847866556,4.72763301850611,3.93653245450706,25423756.84943099,14423444.530944273,16150911.029530745,17307950.162047952,20771059.16212077,20310965.97412665,12111115.655963168,13301569.799686005,15421861.73516536,24118072.08257785,44810468.07038487,21053442.188620336
D6d0S1-F0d03-Vc30-MJ004-K02,1,0.03,30.0,J004,2,45.47155232969961,17.1972184473914,34.054660287988604,5.22233487564496,3.97420710772495,24913590.712622903,23610255.106073193,16703040.49001916,16100542.702544555,28327152.03386869,20391254.539852973,17359561.269241594,15947794.19875871,20936532.975480605,28258566.921048664,36840620.90456664,27716850.571063105
D6d0S1-F0d03-Vc30-MJ005-K03,1,0.03,30.0,J005,3,40.93006557816079,12.6557316958526,27.246460583296198,4.74536185611085,3.8996471311245298,33814288.44728367,21161883.86350177,19044882.05457561,19128946.658433493,27704586.13904229,26785656.024285465,16611787.823177492,17721188.85489573,22119127.004978232,41008176.84742071,45032722.17592074,38234609.16168514
D6d0S1-F0d03-Vc30-MJ006-K03,1,0.03,30.0,J006,3,40.471959021811294,12.1976251395031,33.729316722282704,4.89987777675259,3.8791090675837694,27212074.53245648,16335932.794374006,22052794.474748604,15489032.20063169,29692740.87402504,26953726.55853445,22601328.65218575,17154477.665131167,32569268.08308722,49133599.9684671,84850165.07749136,41529265.689142734
D6d0S1-F0d03-Vc30-MJ007-K04,1,0.03,30.0,J007,4,43.221153572468396,14.946819690160199,27.3566548701692,4.83295911803986,3.92606283714688,20526536.00857776,18015688.486816633,14215410.510316625,17012990.284693256,15881478.221939301,23484315.67505733,13995650.407158686,13428642.930146882,21895141.74203888,24215016.49949009,45261592.16056194,46638860.90708398
D6d0S1-F0d03-Vc30-MJ008-K04,1,0.03,30.0,J008,4,41.0140034658587,12.739669583550501,25.385757245084896,4.4554970843967805,3.7715576989105295,22144678.54158654,18704890.919175293,19794759.1237351,19265338.27529897,22606363.08999602,22646176.45410756,12995270.74877379,16120935.252905313,20324045.83825675,17590618.11545931,51862857.18370943,34601159.336735405
D6d0S1-F0d03-Vc30-MJ009-K05,1,0.03,30.0,J009,5,40.834440842880795,12.5601069605726,26.46450318526761,4.4077213343511525,3.739319965652721,30177990.88076837,19541064.83521531,22804391.68153723,16398860.285846733,17441074.54002011,21444941.11852876,17002657.420475833,15919551.454697765,25945513.83688611,54484225.23817875,52610948.44061541,39410174.326459795
D6d0S1-F0d03-Vc30-MJ010-K05,1,0.03,30.0,J010,5,41.0172345951987,12.742900712890599,25.354097759478197,4.4183766928899,3.78047095991064,18083593.77118705,13158274.97976897,13884038.214950388,15131253.979112266,23287585.113800026,25928635.78823565,16856194.549015593,18631734.54607228,29905392.290937833,44507864.86273926,73889510.46506755,57950262.70371556
D6d0S1-F0d03-Vc45-MJ001-K01,1,0.03,45.0,J001,1,42.6475766237093,14.3732427414011,24.4666662185016,4.53085753694069,3.8273100265205096,24105756.96557753,26598970.10792461,11438725.375330426,14116754.221089533,12463188.321114626,18977634.26683391,19668120.61104048,18375873.5219514,22398244.031152435,41077279.723090015,47338869.62627801,30262626.781695306
D6d0S1-F0d03-Vc45-MJ002-K01,1,0.03,45.0,J002,1,46.298880340639705,18.02454645833161,25.856006408997306,4.78345035281771,4.08929883253317,27369147.72274629,17160582.224843364,11958328.889993595,14135267.70518435,15858100.712607345,20367090.85367212,15764758.444569012,14885590.640215827,39918980.97379414,46827812.05273463,76580516.14965564,51656951.2552011
D6d0S1-F0d03-Vc45-MJ003-K02,1,0.03,45.0,J003,2,45.2094010461977,16.9350671638896,25.8354230186762,4.68958878531853,4.06105327761124,27642901.21685115,32254487.00983521,20853298.63813697,23806557.49674301,19034370.6832658,27597280.02990232,22552535.091435306,10873915.842538226,27310842.72497621,44491781.5017281,84560208.09706917,42614552.2779152
