name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-90,90-130,130-170,170-210,210-250,250-290,290-330,330-370,370-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,27530847.93332905,19925274.54935334,23457177.200967826,43479610.18224704,29663325.31308221,22952005.81631169,33238892.61733589,44615950.5498557,46894908.6436105
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,39007739.70713122,23803581.418492313,30974025.97444788,76352808.5332942,34851663.42795485,21941354.542980865,27993943.18977128,46159857.14174746,51415103.22649366
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,40066419.7213034,22455535.95710316,30153470.6870167,67095729.78641646,30980193.672256645,23109794.858738564,21192225.80179101,29753540.76672003,37982611.8229395
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,53486639.68185623,24826953.54206521,35330432.74451482,71677420.2917593,28621635.03767664,19769953.00253332,21286883.494055994,36487231.63959541,28899788.26573773
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,35188857.43319658,22701350.41478888,35755374.6624685,59912344.87088783,37954785.96946233,26522308.02055497,29695329.97407675,31463266.816363703,26989474.72365808
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,33776925.39061714,24117476.765394393,27344836.88824304,48511280.16370218,38332584.61103842,29290795.30251273,23160274.209514115,31203719.62677072,48223504.66986303
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,45945881.74155899,24886085.38577388,26566512.12952245,50765395.13279029,34199069.547878355,24088017.87550509,35842524.63707298,41437291.13062586,69876804.83953962
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,21871455.63456271,19276742.731957465,26942272.244321555,51018276.22695306,26256248.7522164,18026496.4300722,22084239.708432745,41488249.55725184,25717772.09013773
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,33012939.93194423,27176381.802732665,26349948.03188138,70428709.03557582,30620952.712843165,18847038.471927047,26315439.24919221,36870132.70469761,73145092.55066444
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,45497341.63441666,23665931.60107946,24064351.68666813,78566515.10792442,35622114.606977515,22735877.57314956,24504617.08093577,33819665.01552144,38861676.99905901
D6d0S1-F0d03-Vc30-MJ001-K01,1,0.03,30.0,J001,1,42.6726746799839,14.3983407976758,24.5629221868324,4.468104241955629,3.9112406058108102,29502747.70370012,19502216.16897062,27641317.63655866,49538357.20923518,25652105.34659265,22762022.042589035,48785780.65426897,57165404.31388225,44826607.13358913
D6d0S1-F0d03-Vc30-MJ002-K01,1,0.03,30.0,J002,1,42.6447446135751,14.370410731266901,26.0460457427005,4.8606312566096195,3.8142388553326603,38553214.22258294,29931034.63161325,30857299.11154845,36587697.68010181,30938454.93939947,25901918.66866735,52760710.02257485,84267864.47373228,78672963.87237161
D6d0S1-F0d03-Vc30-MJ003-K02,1,0.03,30.0,J003,2,42.5188666578585,14.2445327755503,25.1635847866556,4.72763301850611,3.93653245450706,38389806.22245443,27961384.792754576,29650560.255865514,39787796.56950077,24809412.91648449,23101648.856770426,29709775.54729181,65152060.03149565,41076641.37699457
D6d0S1-F0d03-Vc30-MJ004-K02,1,0.03,30.0,J004,2,45.47155232969961,17.1972184473914,34.054660287988604,5.22233487564496,3.97420710772495,40460972.47741639,40537156.75126825,26702179.20819,45763484.05933613,36529635.9323271,24635050.06197033,42023485.40405673,52766347.4920129,55170022.36791191
D6d0S1-F0d03-Vc30-MJ005-K03,1,0.03,30.0,J005,3,40.93006557816079,12.6557316958526,27.246460583296198,4.74536185611085,3.8996471311245298,53086622.23112521,38357634.0938964,30085650.19399749,46324881.98776485,37750468.47589807,29092322.711250186,46614889.00172354,77997476.6306989,71170482.24715327
D6d0S1-F0d03-Vc30-MJ006-K03,1,0.03,30.0,J006,3,40.471959021811294,12.1976251395031,33.729316722282704,4.89987777675259,3.8791090675837694,42247257.494688,31946564.47333857,31324094.83926396,58530945.70997939,35784320.08758516,34630830.47068777,76814720.66972503,117539122.17713824,97243792.88340946
D6d0S1-F0d03-Vc30-MJ007-K04,1,0.03,30.0,J007,4,43.221153572468396,14.946819690160199,27.3566548701692,4.83295911803986,3.92606283714688,31555812.49828017,30884710.63580457,30350419.575401224,36003992.06003647,25634070.49097672,22435301.992680904,39600361.21999271,67574775.24389276,79438816.07978036
D6d0S1-F0d03-Vc30-MJ008-K04,1,0.03,30.0,J008,4,41.0140034658587,12.739669583550501,25.385757245084896,4.4554970843967805,3.7715576989105295,36621514.10793337,31869982.45816673,35973601.01714057,42143623.32364114,30276873.15963431,26722694.654606,36365533.26068746,65263555.80603444,68124550.13789235
D6d0S1-F0d03-Vc30-MJ009-K05,1,0.03,30.0,J009,5,40.834440842880795,12.5601069605726,26.46450318526761,4.4077213343511525,3.739319965652721,48759210.44678067,38161653.15574059,31111684.13644311,31676655.11417295,32878457.38106575,28718710.60210303,60943317.5694908,93716061.3037412,77235056.01903687
D6d0S1-F0d03-Vc30-MJ010-K05,1,0.03,30.0,J010,5,41.0172345951987,12.742900712890599,25.354097759478197,4.4183766928899,3.78047095991064,28942978.36323221,24008817.280606154,26685365.44545393,48653988.24776217,27616279.64173935,33246251.78534007,53833839.24517458,100318661.27999815,117002391.28491424
D6d0S1-F0d03-Vc45-MJ001-K01,1,0.03,45.0,J001,1,42.6475766237093,14.3732427414011,24.4666662185016,4.53085753694069,3.8273100265205096,44449259.82480363,34485169.46035822,23264597.903511226,28130525.16667766,29268520.565152563,35600809.28659743,47280213.57288576,74130507.06756666,65329466.15599925
D6d0S1-F0d03-Vc45-MJ002-K01,1,0.03,45.0,J002,1,46.298880340639705,18.02454645833161,25.856006408997306,4.78345035281771,4.08929883253317,40584818.50399474,28460383.72594515,23649269.00691638,33488529.06775572,29147592.81581535,27015133.71737364,83745722.88263984,103273620.64810672,97440742.44936468
D6d0S1-F0d03-Vc45-MJ003-K02,1,0.03,45.0,J003,2,45.2094010461977,16.9350671638896,25.8354230186762,4.68958878531853,4.06105327761124,46882700.41237315,51968967.49921703,38299559.21922615,34144192.07453459,43739140.069579855,26407318.450317666,58659114.91053912,107586328.08738908,93110732.26731426
D6d0S1-F0d03-Vc45-MJ004-K02,1,0.03,45.0,J004,2,40.726827138318,12.4524932560099,25.759899746164198,5.044124137276951,3.86531885294881,34051311.94838959,45814963.42769028,32778451.17446695,32660272.58902983,36878130.653847024,40752707.28156904,71439528.61551647,115821482.37193766,164575904.1366367
D6d0S1-F0d03-Vc45-MJ005-K03,1,0.03,45.0,J005,3,41.5754535575766,13.3011196752684,23.236567558252002,4.64922922401726,3.8587877094201297,37502339.96549306,33251771.66766656,34299070.73202663,30374347.023497466,29343544.671182904,23265375.29805033,83774431.24136102,86757681.90475023,130916732.64015491
D6d0S1-F0d03-Vc45-MJ006-K03,1,0.03,45.0,J006,3,41.124855171641606,12.850521289333502,28.8551335109334,4.91514448773795,3.89758161867807,40692685.01682941,35341606.6481126,18902939.15007189,36767472.228937946,44527406.16869617,45903619.49878717,142589044.71549222,251099628.57211053,202159381.58636835
D6d0S1-F0d03-Vc45-MJ007-K04,1,0.03,45.0,J007,4,44.551887489075,16.2775536067668,26.299550691014105,4.718710174023951,3.8964094941416203,48044219.06865545,44950376.25807326,39732651.13549277,35111190.441040955,49104130.78852814,53623079.84362888,105013736.5959234,175339936.57083791,197222506.2414536
D6d0S1-F0d03-Vc45-MJ008-K04,1,0.03,45.0,J008,4,46.14836719468021,17.874033312372,26.0286511517898,4.910684171798232,3.96694675841956,36617950.755677216,42046730.82933994,36829371.73647506,44411555.015136495,43235905.06424067,43366121.921402216,125240098.6040844,131720935.6514054,109717402.50286964
D6d0S1-F0d03-Vc45-MJ009-K05,1,0.03,45.0,J009,5,44.997688551365,16.7233546690569,26.8048611083007,4.941099678020518,3.97640233155236,34872893.489826344,41107776.76426385,21844230.963205773,31049689.94059613,34399059.80497408,42057511.09219798,88127899.74530046,235866304.51016602,200494054.47804868
D6d0S1-F0d03-Vc45-MJ010-K05,1,0.03,45.0,J010,5,45.291551723980206,17.0172178416721,26.2898767891187,4.7407994573167,3.9810504318171502,62656912.01480617,43980988.09748956,32825233.71834371,51587053.85313579,41181558.33925478,64278062.46334788,128903321.18413426,247198724.63712597,204404014.3108788
D6d0S1-F0d03-Vc60-MJ001-K01,1,0.03,60.0,J001,1,42.588187970412704,14.3138540881045,23.627520838903603,4.6556905578092005,3.92908144875826,57281835.8267289,43120670.5224259,28243083.35216197,35516993.57811146,46261735.36857984,103618755.92687696,179267659.380136,276164943.9958098,262422159.2728543
D6d0S1-F0d03-Vc60-MJ002-K01,1,0.03,60.0,J002,1,43.1635881092278,14.889254226919599,24.495767363653396,4.45675475731078,3.9288402422816002,27597026.20025578,21332518.190082245,15454885.684378225,27219678.08071306,24459933.578579474,114400276.96994808,153263997.65384355,365180164.3152328,354473112.3924755
D6d0S1-F0d03-Vc60-MJ003-K02,1,0.03,60.0,J003,2,46.5481622924193,18.2738284101111,25.0037926704664,4.64870392318248,4.00502156036967,54394519.55555954,31586559.09810137,33607709.862578824,32894456.99330597,42657353.33608893,211046853.88457507,409181929.70903236,381721288.3491706,297945503.827798
D6d0S1-F0d03-Vc60-MJ004-K02,1,0.03,60.0,J004,2,41.4147077354144,13.1403738531063,23.7105222279601,4.34397404000292,3.79396819707232,41627933.93127056,33229829.690633226,33905251.38431261,31813467.34194171,42975381.15449484,71460925.92458133,160188580.13891158,251091008.2825602,290799629.97152793
D6d0S1-F0d03-Vc60-MJ005-K03,1,0.03,60.0,J005,3,42.858121718320795,14.5837878360127,25.59466933537849,4.7486316973749405,3.85563949814101,39714763.568059295,35617068.452783346,24471539.32399373,36159998.11041634,55172884.08569061,109038659.31187864,265274358.17640105,342043233.06480664,285831412.2467712
